word,count
ét,6
muối,6
bờ,6
biện,6
huyết,6
quả,6
nhẹ,6
tuấn,6
xíu,6
ngắn,6
mua,6
xúc,6
tan,6
hiền,6
chấm,6
hương,6
sâu,6
phước,6
đào,6
may,6
hộ,6
chàm,6
đạp,6
phim,6
thắc,6
bách,6
áp,6
tận,6
rang,6
chóng,6
nghiệm,6
a,6
kịp,6
nằm,6
tích,6
lạnh,6
sách,5
hậu,5
yêu,5
đen,5
tuyệt,5
lớp,5
đảm,5
nghĩ,5
né,5
đọc,5
mũi,5
sóc,5
khuyên,5
bẩy,5
cát,5
trái,5
min,5
thổi,5
xê,5
giống,5
lôi,5
nón,5
nốt,5
cẩn,5
bầu,5
quản,5
xét,5
phân,5
mùng,5
nghìn,5
quần,5
đạt,5
thoát,5
trương,5
bánh,5
thăm,5
tam,5
tưởng,5
quận,5
thất,5
lương,5
ca,5
đá,5
bóng,5
dạo,5
ao,5
mở,5
tím,5
ẩn,5
sóng,5
thưa,5
tắc,5
quạt,5
rệt,5
tường,5
xoáy,5
tôm,5
thuật,5
tài,5
nà,5
chết,5
cổ,5
rét,4
vầng,4
triều,4
xêm,4
rà,4
đợi,4
lít,4
xung,4
nhắn,4
khăn,4
muỗi,4
yến,4
diệu,4
ngoại,4
khám,4
ông,4
trống,4
công,4
bùi,4
mời,4
ổn,4
cốc,4
nhở,4
đơn,4
vấn,4
ướt,4
ngắm,4
viên,4
thuyền,4
mơ,4
cân,4
thừa,4
trắc,4
giai,4
lắc,4
ngớt,4
quen,4
tử,4
trịnh,4
dày,4
kỹ,4
dầu,4
dịch,4
nghiêm,4
tô,4
ốm,4
vô,4
mạng,4
cha,4
lá,4
ngơi,4
xã,4
nữ,4
dập,4
kiều,4
sườn,4
nga,4
tổng,4
rơi,4
lều,4
bê,4
bìa,4
khoác,4
đứng,4
bỏ,4
đắng,4
tiềm,4
lái,4
kinh,4
ngọc,4
hàng,4
ủng,4
trụng,4
dây,4
pết,4
lũng,4
cú,4
đau,4
bỏng,4
xả,3
đo,3
thạch,3
thịt,3
vành,3
sốc,3
tốn,3
bữa,3
giây,3
lỗi,3
thú,3
tiền,3
cá,3
nền,3
trinh,3
giông,3
bôn,3
sơ,3
trị,3
độc,3
trẻ,3
thận,3
đọng,3
chỗ,3
ha,3
dép,3
trạm,3
nhi,3
hả,3
bạc,3
nhịn,3
tòa,3
sở,3
dệt,3
cảng,3
luật,3
tóm,3
giản,3
tao,3
xinh,3
loạt,3
tu,3
trơn,3
tre,3
tuân,3
luyện,3
cơm,3
thầy,3
cận,3
dồn,3
niềm,3
ánh,3
tết,3
nhỉnh,3
hôn,3
xác,3
đinh,3
đới,3
thử,3
trừ,3
chiếu,3
trợ,3
đeo,3
rủi,3
cột,3
ghi,3
tiếc,3
lui,3
bi,3
hút,3
bạch,3
ngủ,3
lam,3
thiếu,3
quãng,3
trồng,3
thả,3
trực,3
rong,3
chuyện,3
na,3
đặng,3
vụ,3
lát,3
tùy,3
vong,3
hồi,3
cậu,3
đuối,3
háo,3
mỏng,3
gọn,3
dị,3
thuốc,3
hệ,3
suối,3
nêu,3
bệnh,3
suốt,3
bay,3
tạo,3
uyên,3
ly,3
dâm,3
mê,3
tuyến,3
bé,3
tim,3
tải,3
dậy,3
sờ,3
rát,3
ro,3
bơi,3
phá,3
coi,3
mẹ,3
gàng,3
tỏ,2
sót,2
mẹo,2
lin,2
ngụm,2
cáo,2
chuyến,2
xóa,2
bồ,2
nhiêu,2
hế,2
dọc,2
cầm,2
chét,2
đoán,2
m,2
ái,2
đấu,2
kiệm,2
bến,2
trận,2
củ,2
làn,2
nững,2
tặng,2
án,2
lo,2
tù,2
sâm,2
lấp,2
o,2
thắng,2
xịt,2
bù,2
chai,2
xào,2
gương,2
trán,2
tàn,2
dẹp,2
lô,2
viết,2
trùm,2
tá,2
cuốn,2
quyết,2
ép,2
quyên,2
sĩ,2
điển,2
lệ,2
rời,2
tỏa,2
ngồi,2
sẵn,2
chăm,2
hôi,2
bề,2
mồ,2
gấp,2
dựa,2
thói,2
nhị,2
rông,2
sếp,2
kiến,2
thầu,2
ây,2
đốt,2
lễ,2
bài,2
mắn,2
thao,2
pờ,2
rực,2
nhàng,2
nhảy,2
phụ,2
ga,2
nai,2
tung,2
hãng,2
nhé,2
sôi,2
thiểu,2
cay,2
phong,2
hoài,2
mãi,2
trùng,2
làng,2
đãng,2
ngà,2
quân,2
ực,2
niên,2
dàng,2
màu,2
thoáng,2
dung,2
cũ,2
khủng,2
trượt,2
ngư,2
tôn,2
họ,2
vàng,2
thịnh,2
lụt,2
chăng,2
xi,2
hiếu,2
trăng,2
tranh,2
tân,2
thiện,2
nuôi,2
túc,2
phi,2
đài,2
nhiện,2
khoản,2
hàn,2
xử,2
ngọn,2
mước,2
đẩy,2
dong,2
mục,2
tràng,2
thư,2
bu,2
nè,2
đại,2
đoàn,2
cám,2
bở,2
bô,2
nhão,2
se,2
hầm,2
đồi,2
cúm,2
vợ,2
đèo,2
gói,2
lãng,2
lập,2
đem,2
thức,2
sản,2
dữ,2
chậm,2
dịt,2
dấu,2
dừng,2
oanh,2
xương,2
kém,2
i,2
nhấ,2
viện,2
đương,2
ngược,2
cản,2
suy,2
xây,2
ập,2
kiện,2
vận,2
bén,2
ngờ,2
nâng,2
vĩ,2
luộc,2
hằng,2
tà,2
đâm,2
buồn,2
đàm,1
mạn,1
bá,1
pô,1
te,1
khúc,1
rề,1
sam,1
mùi,1
phơi,1
pai,1
nim,1
bếp,1
tạng,1
vương,1
nghiệp,1
nổ,1
khuân,1
đai,1
hoang,1
chàng,1
bò,1
chu,1
quê,1
ngôn,1
ân,1
võ,1
đẫu,1
ngân,1
hoạn,1
hỏa,1
nàng,1
cuộc,1
tốc,1
rờ,1
tiế,1
đua,1
triệu,1
thừ,1
tai,1
đám,1
thi,1
cắm,1
sấy,1
bàn,1
thụ,1
tro,1
gấu,1
tã,1
tinh,1
tấy,1
rết,1
đác,1
thần,1
lán,1
phé,1
phật,1
phon,1
mựa,1
tuột,1
tràm,1
lộ,1
chở,1
tháo,1
cở,1
cắt,1
nhan,1
bướng,1
rìa,1
ngũ,1
bung,1
miễn,1
lồ,1
mệnh,1
sạn,1
rỡ,1
bóp,1
dở,1
nương,1
láng,1
nhát,1
nhấp,1
thua,1
toán,1
bơ,1
xoa,1
vay,1
va,1
xáo,1
gan,1
trại,1
dư,1
vạch,1
kha,1
lịc,1
mừa,1
thơm,1
bám,1
tín,1
môi,1
th,1
hoạc,1
đói,1
nhơm,1
tú,1
màn,1
chặn,1
ngăn,1
chứa,1
kín,1
đậy,1
dọn,1
ngoái,1
neo,1
sưởi,1
chứng,1
đậu,1
aletsinđơhà,1
nít,1
mối,1
ngã,1
lệch,1
nhệt,1
dơi,1
hùng,1
nguên,1
dực,1
lừng,1
chuyên,1
dũng,1
phượng,1
ớt,1
trầm,1
đỉnh,1
bận,1
họng,1
viêm,1
hồn,1
nhấn,1
xẻng,1
nạn,1
đũ,1
quyến,1
khuyến,1
lắp,1
lao,1
rô,1
nhác,1
tát,1
tòng,1
len,1
thóc,1
mếch,1
mận,1
bết,1
chun,1
bẩn,1
giày,1
trí,1
nhương,1
rửa,1
ngửa,1
chục,1
ry,1
trợt,1
thâm,1
nguôi,1
tuyền,1
rẻ,1
xẹp,1
hỗ,1
tron,1
hớng,1
suôn,1
rạch,1
hiển,1
cứu,1
kạn,1
ruộng,1
chói,1
lạc,1
nhớp,1
khép,1
thiếc,1
rút,1
tuyết,1
bậc,1
lướt,1
khơi,1
hiệp,1
đạc,1
vươn,1
thuyết,1
cước,1
nhóm,1
nhen,1
nuyễn,1
non,1
cậy,1
hang,1
nụ,1
lội,1
ác,1
bọn,1
luyến,1
thờ,1
buộc,1
ờtênyênmanhvờtêntâynguyên,1
nghiên,1
ngần,1
bố,1
lưa,1
chíminhcbikhôngemờquý,1
cương,1
hiêu,1
thủy,1
dật,1
hường,1
rựu,1
láp,1
lầm,1
sai,1
niệm,1
ngôi,1
hoành,1
cùm,1
nghiệt,1
khắc,1
lấy,1
hãi,1
muố,1
lữ,1
hở,1
vin,1
cam,1
đỏ,1
rin,1
dải,1
đằng,1
lắng,1
en,1
tụ,1
phó,1
suất,1
xết,1
sạm,1
nghi,1
khảo,1
ối,1
đố,1
cờ,1
dã,1
xế,1
thẻ,1
thnhững,1
gật,1
nhiệc,1
dịn,1
lược,1
trơ,1
mên,1
múi,1
đời,1
trào,1
cáu,1
rôn,1
c,1
sửa,1
trâu,1
nắn,1
uyển,1
bút,1
phay,1
bóc,1
dì,1
mừn,1
ngây,1
chinh,1
hát,1
cất,1
đê,1
quâylàgìvềđnxanhphảnơianhtahọi,1
thợ,1
ôm,1
chân,1
ngừng,1
táp,1
địch,1
tau,1
mỡ,1
canhữngciểnachínhđơnaphảnùncannàythậmchílàởthanhhóa,1
tẩy,1
xó,1
nức,1
kẽ,1
nhện,1
ôi,1
sắm,1
trưởng,1
chặt,1
bảng,1
nhập,1
kêu,1
dảy,1
vai,1
thôn,1
nhỉ,1
huân,1
run,1
khoa,1
đàn,1
sô,1
gồng,1
vớinhững,1
oai,1
cấm,1
ri,1
mô,1
khoái,1
mết,1
hài,1
nguyện,1
danh,1
hiệ,1
bí,1
từa,1
lãnh,1
áng,1
dòng,1
còm,1
tấm,1
đết,1
tua,1
trơi,1
mút,1
kẹt,1
huyên,1
huê,1
cổng,1
chật,1
giới,1
miên,1
lành,1
niêm,1
ngất,1
sợ,1
tăn,1
chè,1
kẻ,1
nhịt,1
nhường,1
no,1
san,1
lặn,1
lài,1
ổng,1
mơi,1
bạo,1
môn,1
bì,1
phí,1
kiểm,1
soát,1
bùng,1
khát,1
trông,1
nướng,1
phãi,1
tý,1
thảm,1
chốt,1
phê,1
chương,1
nề,1
chữ,1
nặng,1
ghen,1
xơ,1
lồn,1
gác,1
lòng,1
lơ,1
thổ,1
đoạt,1
đuôi,1
thép,1
chố,1
tàmòđàckhông,1
lực,1
khuê,1
tran,1
sơm,1
hóc,1
lợt,1
loa,1
miệt,1
xèn,1
dĩ,1
thẳng,1
lặp,1
nửa,1
lạo,1
sữa,1
trắng,1
nư,1
tầng,1
tiệm,1
dựt,1
quyền,1
lặng,1
đẫy,1
vững,1
phẩm,1
món,1
úm,1
vùn,1
sào,1
dẫy,1
sá,1
tuyển,1
thắp,1
phức,1
phiền,1
nẻ,1
phục,1
tí,1
dược,1
mệt,1
mỏi,1
quỹ,1
chùm,1
chanh,1
kho,1
rỏi,1
sạc,1
gát,1
căn,1
ngắt,1
dấm,1
chó,1
d,1
nực,1
thiều,1
ả,1
êm,1
vự,1
khoe,1
ờm,1
giấu,1
chỉnh,1
góp,1
xuồng,1
gáy,1
hẹp,1
nhậ,1
khoát,1
nghề,1
tơ,1
khôi,1
phét,1
ngùng,1
khây,1
mồi,1
tảm,1
ràng,1
tệ,1
kiệt,1
tròi,1
râm,1
phóng,1
góc,1
chiên,1
chiến,1
mặn,1
chuỗi,1
tái,1
phẩy,1
pê,1
lưỡng,1
mạch,1
phản,1
kích,1
vây,1
rộn,1
